"id","latitude","longitude","name","docks"
36,"51.501737","-0.184981","De Vere Gardens, Kensington",28
360,"51.496753","-0.138734","Howick Place, Westminster",27
361,"51.50392","-0.113426","Waterloo Station 2, Waterloo",55
362,"51.536264","-0.133952","Royal College Street, Camden Town",55
363,"51.529121","-0.171185","Lord's, St. John's Wood",24
364,"51.519656","-0.132339","Alfred Place, Bloomsbury",41
365,"51.530344","-0.100168","City Road, Angel",47
366,"51.510919","-0.151126","Millennium Hotel, Mayfair",27
367,"51.517372","-0.164208","Harrowby Street, Marylebone",16
368,"51.500242","-0.159341","Harriet Street, Knightsbridge",25
37,"51.491594","-0.192369","Penywern Road, Earl's Court",17
370,"51.520205","-0.174593","Paddington Green, Paddington",19
371,"51.49775","-0.10988","King Edward Walk, Waterloo",22
372,"51.515208","-0.117863","Sardinia Street, Holborn",24
373,"51.499807","-0.176416","Prince Consort Road, Knightsbridge",18
374,"51.504028","-0.113864","Waterloo Station 1, Waterloo",34
375,"51.501946","-0.194393","Kensington Town Hall, Kensington",18
376,"51.491884","-0.125675","Millbank Tower, Pimlico",24
377,"51.505354","-0.113657","Waterloo Bridge, South Bank",15
378,"51.495593","-0.179078","Natural History Museum, South Kensington",42
379,"51.514312","-0.200838","Turquoise Island, Notting Hill",21
38,"51.497388","-0.197246","Abingdon Villas, Kensington",17
380,"51.506864","-0.150667","Stanhope Gate, Mayfair",21
381,"51.51953","-0.135777","Charlotte Street, Fitzrovia",14
382,"51.509352","-0.14745","Farm Street, Mayfair",15
383,"51.513103","-0.131214","Frith Street, Soho",18
384,"51.496481","-0.192404","Marloes Road, Kensington",15
386,"51.513528","-0.130111","Moor Street, Soho",16
387,"51.4937","-0.121394","Fire Brigade Pier, Vauxhall",29
388,"51.510702","-0.121724","Southampton Street, Strand",14
389,"51.510131","-0.155758","Upper Grosvenor Street, Mayfair",18
39,"51.526378","-0.078131","Shoreditch High Street, Shoreditch",41
390,"51.521776","-0.068856","Buxton Street 1, Shoreditch",40
392,"51.499429","-0.179702","Imperial College, Knightsbridge",21
393,"51.517334","-0.103604","Snow Hill, Farringdon",12
394,"51.524826","-0.176268","Aberdeen Place, St. John's Wood",18
395,"51.492462","-0.159919","Cadogan Gardens, Chelsea",15
396,"51.51809","-0.163609","Shouldham Street, Marylebone",15
397,"51.51348","-0.17977","Devonshire Terrace, Bayswater",16
398,"51.502319","-0.200742","Holland Park, Kensington",30
399,"51.522618","-0.071654","Brick Lane Market, Shoreditch",24
4,"51.530059","-0.120974","St. Chad's Street, King's Cross",23
40,"51.521271","-0.075579","Commercial Street, Shoreditch",15
400,"51.517703","-0.154106","George Street, Marylebone",26
401,"51.528187","-0.075375","Columbia Road, Shoreditch",23
402,"51.522892","-0.171682","Penfold Street, Marylebone",15
403,"51.516893","-0.15825","George Place Mews, Marylebone",16
404,"51.502042","-0.1844","Palace Gate, Kensington Gardens",12
405,"51.494186","-0.182671","Gloucester Road Station, South Kensington",15
408,"51.519943","-0.170704","Paddington Green Police Station, Paddington",40
409,"51.493146","-0.099828","Strata, Elephant & Castle",39
41,"51.520955","-0.083494","Pindar Street, Liverpool Street",24
410,"51.519968","-0.169774","Edgware Road Station, Marylebone",64
411,"51.493373","-0.099681","Walworth Road, Elephant & Castle",33
412,"51.488105","-0.110121","Cleaver Street, Kennington",17
419,"51.485821","-0.149004","Chelsea Bridge, Pimlico",15
42,"51.530992","-0.093904","Wenlock Road , Hoxton",28
420,"51.504043","-0.105312","Southwark Station 1, Southwark",28
421,"51.504044","-0.104778","Southwark Station 2, Southwark",43
423,"51.494561","-0.153934","Eaton Square (South), Belgravia",30
424,"51.490491","-0.149186","Ebury Bridge, Pimlico",29
425,"51.533379","-0.139159","Harrington Square 2, Camden Town",38
426,"51.493072","-0.129925","Vincent Street, Pimlico",17
427,"51.513971","-0.09294","Cheapside, Bank",43
428,"51.499917","-0.174554","Exhibition Road, Knightsbridge",18
43,"51.52026","-0.157184","Crawford Street, Marylebone",18
430,"51.48902","-0.17524","South Parade, Chelsea",18
431,"51.534474","-0.122203","Crinan Street, King's Cross",20
432,"51.496957","-0.173894","Exhibition Road Museums, South Kensington",22
433,"51.524564","-0.116279","Wren Street, Holborn",33
435,"51.488852","-0.105593","Kennington Station, Kennington",21
436,"51.51824","-0.11655","Red Lion Street, Holborn",35
437,"51.488124","-0.120903","Vauxhall Walk, Vauxhall",26
439,"51.5338","-0.118677","Killick Street, King's Cross",22
44,"51.510737","-0.144165","Bruton Street, Mayfair",21
440,"51.483145","-0.113134","Kennington Oval, Oval",33
441,"51.495656","-0.114605","Sail Street, Vauxhall",24
442,"51.510101","-0.211358","Walmer Road, Avondale",24
443,"51.515256","-0.058641","Philpot Street, Whitechapel",30
444,"51.52568","-0.055312","Bethnal Green Garden, Bethnal Green",23
445,"51.52388","-0.065076","Cheshire Street, Bethnal Green",28
446,"51.528936","-0.055894","York Hall, Bethnal Green",26
447,"51.493381","-0.007542","Jubilee Crescent, Cubitt Town",54
448,"51.50623","-0.02296","Fisherman's Walk West, Canary Wharf",36
449,"51.511088","-0.057159","Shadwell Station, Shadwell",34
45,"51.522511","-0.162298","Boston Place, Marylebone",26
450,"51.515975","-0.053177","Jubilee Street, Stepney",28
451,"51.504719","-0.063531","Hermitage Court, Wapping",16
452,"51.505697","-0.070542","St. Katharine's Way, Tower",24
453,"51.508447","-0.055167","Garnet Street, Shadwell",24
454,"51.487679","-0.021582","Napier Avenue, Millwall",19
455,"51.49447","-0.014409","East Ferry Road, Cubitt Town",17
456,"51.538071","-0.144664","Parkway, Camden Town",33
457,"51.542138","-0.145393","Castlehaven Road, Camden Town",29
458,"51.504749","-0.057544","Wapping Lane, Wapping",28
459,"51.535179","-0.03338","Gunmakers Lane, Old Ford",17
46,"51.507131","-0.06691","Nesham Street, Wapping",15
460,"51.516196","-0.029138","Burdett Road, Mile End",32
461,"51.516","-0.038775","Aston Street, Stepney",26
462,"51.541603","-0.138853","Bonny Street, Camden Town",44
463,"51.534776","-0.071881","Thurtle Road, Haggerston",22
464,"51.51417","-0.052099","St. Mary & St. Michael Church, Stepney",24
465,"51.53558","-0.08249","Pitfield Street North,Hoxton",27
466,"51.534464","-0.076341","Whiston Road, Haggerston",21
467,"51.523538","-0.030556","Southern Grove, Bow",17
468,"51.521564","-0.022694","Cantrell Road, Bow",24
469,"51.513757","-0.020467","Lindfield Street, Poplar",44
47,"51.523345","-0.183846","Warwick Avenue Station, Maida Vale",19
470,"51.530535","-0.025492","Mostyn Grove, Bow",46
471,"51.533283","-0.028155","Hewison Street, Old Ford",19
472,"51.529452","-0.027616","Malmesbury Road, Bow",10
473,"51.496137","-0.019355","Millharbour, Millwall",19
475,"51.499041","-0.020157","Lightermans Road, Millwall",31
476,"51.489096","-0.009205","Stebondale Street, Cubitt Town",28
477,"51.49109","-0.018716","Spindrift Avenue, Millwall",36
478,"51.521889","-0.04667","Stepney Green Station, Stepney",20
479,"51.527152","-0.058005","Pott Street, Bethnal Green",19
48,"51.512484","-0.099141","Godliman Street, St. Paul's",25
480,"51.512871","-0.038987","Flamborough Street, Limehouse",25
481,"51.487129","-0.009001","Saunders Ness Road, Cubitt Town",34
483,"51.51328","-0.047784","Albert Gardens, Stepney",32
484,"51.528828","-0.013258","Bromley High Street, Bow",23
485,"51.531127","-0.048017","Old Ford Road, Bethnal Green",24
486,"51.525645","-0.069543","Granby Street, Shoreditch",37
487,"51.511811","-0.025626","Canton Street, Poplar",23
488,"51.506946","-0.058681","Reardon Street, Wapping",22
489,"51.513074","-0.064094","Christian Street, Whitechapel",34
49,"51.507069","-0.145904","Curzon Street, Mayfair",15
490,"51.508622","-0.065006","Pennington Street, Wapping",45
491,"51.522507","-0.041378","Queen Mary's, Mile End",45
492,"51.525501","-0.032267","Maplin Street, Mile End",39
494,"51.50196","-0.016251","South Quay East, Canary Wharf",36
495,"51.528169","-0.018703","Bow Church Station, Bow",36
496,"51.52512","-0.015578","Devons Road, Bow",38
497,"51.526149","-0.027397","Merchant Street, Bow",26
498,"51.527058","-0.025296","Bow Road Station, Bow",41
499,"51.519265","-0.021345","Furze Green, Bow",36
5,"51.49313","-0.156876","Sedding Street, Sloane Square",27
50,"51.528673","-0.087459","East Road, Hoxton",27
500,"51.519806","-0.055731","Ansell House, Stepney",41
501,"51.522561","-0.054883","Cephas Street, Bethnal Green",23
502,"51.53341","-0.049592","Bonner Gate, Victoria Park",20
503,"51.520893","-0.051394","Cleveland Way, Stepney",36
504,"51.496454","-0.009506","St. John's Park, Cubitt Town",30
505,"51.520398","-0.026768","Ackroyd Drive, Bow",29
506,"51.517475","-0.075855","Bell Lane, Liverpool Street",23
507,"51.528692","-0.059091","Clarkson Street, Bethnal Green",30
508,"51.519362","-0.074431","Fournier Street, Whitechapel",18
509,"51.517842","-0.090075","Fore Street, Guildhall",19
51,"51.526718","-0.104298","Finsbury Library , Finsbury",29
510,"51.509303","-0.025996","Westferry DLR, Limehouse",39
511,"51.511066","-0.053558","Sutton Street, Shadwell",32
512,"51.532091","-0.06142","Pritchard's Road, Bethnal Green",30
513,"51.514223","-0.055656","Watney Market, Stepney",50
514,"51.516204","-0.155525","Portman Square, Marylebone",17
515,"51.500088","-0.211316","Russell Gardens, Olympia",24
516,"51.5112","-0.014438","Chrisp Street Market, Poplar",18
518,"51.528224","-0.037471","Antill Road, Mile End",29
519,"51.518811","-0.011662","Teviot Street, Poplar",33
52,"51.522954","-0.094935","Roscoe Street, St. Luke's",17
520,"51.526041","-0.047218","Bancroft Road, Bethnal Green",21
521,"51.534137","-0.037366","Driffield Road, Old Ford",19
522,"51.525941","-0.036017","Clinton Road, Mile End",35
523,"51.51549","-0.013475","Langdon Park, Poplar",24
524,"51.511654","-0.179668","Lancaster Gate , Bayswater",38
526,"51.503143","-0.008428","Lancaster Drive, Blackwall",27
527,"51.503802","-0.215808","Hansard Mews, Holland Park",20
528,"51.507326","-0.145827","Clarges Street, Mayfair",16
529,"51.486892","-0.170983","Manresa Road, Chelsea",17
53,"51.509992","-0.143495","Grafton Street, Mayfair",18
530,"51.508896","-0.012413","Newby Place, Poplar",16
531,"51.530326","-0.042744","Twig Folly Bridge, Mile End",21
532,"51.50357","-0.020068","Jubilee Plaza, Canary Wharf",63
533,"51.528222","-0.069743","Wellington Row, Bethnal Green",33
534,"51.531864","-0.066035","Goldsmith's Row, Haggerston",26
535,"51.537349","-0.147154","Gloucester Avenue, Camden Town",24
536,"51.53385","-0.06992","Queensbridge Road, Haggerston",35
