rental_id,bike_id,startstationid,endstationid,start_date,end_date
90762494,4713,367,584,2019-09-01 00:21:00+00,2019-09-01 00:37:00+00
90762495,16011,374,704,2019-09-01 00:22:00+00,2019-09-01 01:01:00+00
90762496,1291,386,795,2019-09-01 00:22:00+00,2019-09-01 00:33:00+00
90762497,9669,386,795,2019-09-01 00:22:00+00,2019-09-01 00:33:00+00
90762498,4702,229,732,2019-09-01 00:22:00+00,2019-09-01 00:49:00+00
90762499,14270,229,732,2019-09-01 00:22:00+00,2019-09-01 00:49:00+00
90762500,10188,132,458,2019-09-01 00:22:00+00,2019-09-01 00:31:00+00
90762501,14284,719,717,2019-09-01 00:22:00+00,2019-09-01 00:28:00+00
90762502,3357,301,85,2019-09-01 00:22:00+00,2019-09-01 00:56:00+00
90762503,11944,64,24,2019-09-01 00:22:00+00,2019-09-01 00:34:00+00
90762504,15492,821,817,2019-09-01 00:22:00+00,2019-09-01 00:27:00+00
90762505,9586,541,681,2019-09-01 00:23:00+00,2019-09-01 00:50:00+00
90762506,11359,130,452,2019-09-01 00:23:00+00,2019-09-01 00:26:00+00
90762507,5327,296,626,2019-09-01 00:23:00+00,2019-09-01 00:30:00+00
90762508,16636,133,515,2019-09-01 00:23:00+00,2019-09-01 00:32:00+00
90762509,16678,313,695,2019-09-01 00:23:00+00,2019-09-01 01:02:00+00
90762510,10815,692,469,2019-09-01 00:23:00+00,2019-09-01 01:01:00+00
90762511,6479,190,190,2019-09-01 00:23:00+00,2019-09-01 01:42:00+00
90762513,14643,190,310,2019-09-01 00:23:00+00,2019-09-01 00:35:00+00
90762514,14195,313,695,2019-09-01 00:23:00+00,2019-09-01 01:01:00+00
90762515,1373,225,337,2019-09-01 00:23:00+00,2019-09-01 00:25:00+00
90762516,13563,217,33,2019-09-01 00:23:00+00,2019-09-01 00:30:00+00
90762517,16301,495,785,2019-09-01 00:23:00+00,2019-09-01 00:36:00+00
90762518,153,635,682,2019-09-01 00:23:00+00,2019-09-01 00:29:00+00
90762519,3288,732,115,2019-09-01 00:23:00+00,2019-09-01 00:42:00+00
90762520,12397,133,515,2019-09-01 00:24:00+00,2019-09-01 00:32:00+00
90762521,376,495,785,2019-09-01 00:24:00+00,2019-09-01 00:36:00+00
90762522,9692,190,190,2019-09-01 00:24:00+00,2019-09-01 01:43:00+00
90762523,7547,587,61,2019-09-01 00:24:00+00,2019-09-01 00:37:00+00
90762524,6767,480,542,2019-09-01 00:24:00+00,2019-09-01 00:33:00+00
90762525,14148,222,47,2019-09-01 00:24:00+00,2019-09-01 00:42:00+00
90762526,13863,480,542,2019-09-01 00:24:00+00,2019-09-01 00:33:00+00
90762527,10189,495,785,2019-09-01 00:24:00+00,2019-09-01 00:37:00+00
90762528,9096,681,737,2019-09-01 00:24:00+00,2019-09-01 00:43:00+00
90762529,10037,587,61,2019-09-01 00:24:00+00,2019-09-01 00:37:00+00
90762530,7681,681,737,2019-09-01 00:24:00+00,2019-09-01 00:43:00+00
90762531,12575,707,635,2019-09-01 00:24:00+00,2019-09-01 00:27:00+00
90762532,13434,718,470,2019-09-01 00:24:00+00,2019-09-01 00:48:00+00
90762533,8797,296,37,2019-09-01 00:25:00+00,2019-09-01 00:27:00+00
90762534,15232,383,98,2019-09-01 00:25:00+00,2019-09-01 00:38:00+00
90762535,2723,479,531,2019-09-01 00:25:00+00,2019-09-01 00:31:00+00
90762536,8828,479,531,2019-09-01 00:25:00+00,2019-09-01 00:31:00+00
90762537,4937,718,470,2019-09-01 00:25:00+00,2019-09-01 00:48:00+00
90762538,10127,826,188,2019-09-01 00:25:00+00,2019-09-01 00:50:00+00
90762539,4152,83,377,2019-09-01 00:25:00+00,2019-09-01 00:38:00+00
90762540,15838,508,500,2019-09-01 00:25:00+00,2019-09-01 00:34:00+00
90762541,10892,228,223,2019-09-01 00:25:00+00,2019-09-01 00:49:00+00
90762542,10555,14,433,2019-09-01 00:25:00+00,2019-09-01 00:29:00+00
90762543,1407,832,152,2019-09-01 00:26:00+00,2019-09-01 00:41:00+00
90762544,9827,58,488,2019-09-01 00:26:00+00,2019-09-01 00:38:00+00
90762545,6018,399,513,2019-09-01 00:26:00+00,2019-09-01 00:36:00+00
